id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
571789;01/01/2024;segunda-feira;03:56:00;ES;101;38;CONCEICAO DA BARRA;Ultrapassagem Indevida;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;1;1;0;1;2;-18,48261;-39,92379;SPRF-ES;DEL04-ES;UOP02-DEL04-ES
571804;01/01/2024;segunda-feira;04:50:00;PI;343;185;PIRIPIRI;Manobra de mudança de faixa;Colisão frontal;Com Vítimas Fatais;Amanhecer;Decrescente;Céu Claro;Simples;Reta;Sim;2;1;0;0;1;0;0;2;-4,29603281;-41,76732659;SPRF-PI;DEL02-PI;UOP01-DEL02-PI
571806;01/01/2024;segunda-feira;04:30:00;BA;116;578;BREJOES;Ingestão de álcool pelo condutor;Colisão frontal;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Curva;Não;2;1;0;0;1;0;0;2;-13,07158302;-39,9611107;SPRF-BA;DEL03-BA;UOP02-DEL03-BA
571818;01/01/2024;segunda-feira;06:30:00;SE;101;18;MALHADA DOS BOIS;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Amanhecer;Crescente;Céu Claro;Dupla;"Declive;Reta";Não;1;0;0;1;0;0;1;1;-10,35601949;-36,90552235;SPRF-SE;DEL02-SE;UOP02-DEL02-SE
571838;01/01/2024;segunda-feira;05:00:00;MT;364;240;RONDONOPOLIS;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;2;0;0;0;2;0;0;2;-16,17914141;-54,78905337;SPRF-MT;DEL02-MT;UOP01-DEL02-MT
571855;01/01/2024;segunda-feira;11:50:00;MG;251;447;GRAO MOGOL;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;"Aclive;Curva";Não;2;0;1;0;1;0;1;2;-16,43408996;-43,27992195;SPRF-MG;DEL12-MG;UOP01-DEL12-MG
571910;01/01/2024;segunda-feira;15:45:00;BA;116;852,9;VITORIA DA CONQUISTA;Chuva;Colisão frontal;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Simples;"Aclive;Curva";Não;4;2;0;0;2;0;0;2;-15,0196651;-40,94931289;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
571922;01/01/2024;segunda-feira;15:30:00;MG;251;459,7;GRAO MOGOL;Condutor Dormindo;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;3;0;2;0;1;0;2;2;-16,41473399;-43,368613;SPRF-MG;DEL12-MG;UOP01-DEL12-MG
571949;01/01/2024;segunda-feira;18:10:00;SP;116;550;BARRA DO TURVO;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Curva;Não;1;0;1;0;0;0;1;1;-24,95749618;-48,46440871;SPRF-SP;DEL05-SP;UOP02-DEL05-SP
571957;01/01/2024;segunda-feira;13:30:00;MG;262;594,4;CAMPOS ALTOS;Pista Escorregadia;Tombamento;Sem Vítimas;Pleno dia;Decrescente;Chuva;Simples;"Reta;Declive";Não;1;0;0;0;1;0;0;1;-19,66568189;-46,16901785;SPRF-MG;DEL08-MG;UOP02-DEL08-MG
571963;01/01/2024;segunda-feira;17:30:00;MT;364;396;CUIABA;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Nublado;Dupla;Retorno Regulamentado;Sim;3;0;0;0;3;0;0;2;-15,69004774;-55,90523988;SPRF-MT;DEL01-MT;UOP02-DEL01-MT
571976;01/01/2024;segunda-feira;15:00:00;PR;376;327;ORTIGUEIRA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Curva;Declive";Não;2;0;1;0;1;0;1;1;-24,06593407;-51,0643217;SPRF-PR;DEL07-PR;UOP02-DEL07-PR
571998;01/01/2024;segunda-feira;19:00:00;MS;163;551;BANDEIRANTES;Ausência de reação do condutor;Colisão lateral mesmo sentido;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;3;0;0;0;3;0;0;2;-19,89996489;-54,37326248;SPRF-MS;DEL01-MS;UOP02-DEL01-MS
572011;01/01/2024;segunda-feira;21:40:00;MT;364;542;ROSARIO OESTE;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Reta;Sim;2;0;0;1;1;0;1;2;-14,84114829;-56,44175649;SPRF-MT;DEL01-MT;UOP01-DEL01-MT
572014;01/01/2024;segunda-feira;23:50:00;BA;101;733;ITABELA;Transitar na contramão;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;"Declive;Curva";Não;8;0;1;0;7;0;1;2;-16,489273;-39,577433;SPRF-BA;DEL09-BA;UOP01-DEL09-BA
572015;01/01/2024;segunda-feira;22:30:00;RS;101;22;TRES CACHOEIRAS;Ausência de reação do condutor;Colisão lateral mesmo sentido;Sem Vítimas;Plena Noite;Crescente;Nublado;Dupla;Reta;Sim;3;0;0;0;3;0;0;2;-29,4398072;-49,90113887;SPRF-RS;DEL03-RS;UOP02-DEL03-RS
572017;01/01/2024;segunda-feira;17:30:00;PA;10;83,3;ULIANOPOLIS;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;2;0;2;0;0;0;2;2;-3,721266;-47,48965;SPRF-PA;DEL02-PA;UOP02-DEL02-PA
572029;02/01/2024;terça-feira;03:30:00;GO;153;356;JARAGUA;Ausência de reação do condutor;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Dupla;Reta;Sim;4;0;3;0;1;0;3;2;-15,716531;-49,329445;SPRF-GO;DEL02-GO;UOP02-DEL02-GO
572031;02/01/2024;terça-feira;04:37:00;SP;116;134;SAO JOSE DOS CAMPOS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;2;0;0;1;1;0;1;2;-23,1402216;-45,7617252;SPRF-SP;DEL02-SP;UOP02-DEL02-SP
572033;02/01/2024;terça-feira;04:00:00;RJ;40;84;DUQUE DE CAXIAS;Pista Escorregadia;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Garoa/Chuvisco;Simples;Curva;Não;3;0;2;0;1;0;2;2;-22,52145512;-43,23707996;SPRF-RJ;DEL01-RJ;UOP01-DEL01-RJ
572035;02/01/2024;terça-feira;02:30:00;BA;324;470;TANQUINHO;Condutor Dormindo;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;1;0;1;0;0;0;1;1;-11,96401516;-39,14447808;SPRF-BA;DEL02-BA;UOP01-DEL02-BA
572038;02/01/2024;terça-feira;01:50:00;MS;158;56;PARANAIBA;Carga excessiva e/ou mal acondicionada;Incêndio;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Curva;Não;1;0;0;0;1;0;0;1;-19,41028002;-51,39686402;SPRF-MS;DEL08-MS;UOP01-DEL08-MS
572048;02/01/2024;terça-feira;05:00:00;MG;146;483;POCOS DE CALDAS;Problema com o freio;Saída de leito carroçável;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Simples;"Declive;Curva";Não;1;0;1;0;0;0;1;1;-21,775688;-46,432278;SPRF-MG;DEL09-MG;UOP01-DEL09-MG
572051;02/01/2024;terça-feira;06:50:00;RJ;40;76;PETROPOLIS;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;"Aclive;Curva";Não;3;0;1;0;2;0;1;2;-22,47192899;-43,23779321;SPRF-RJ;DEL01-RJ;UOP01-DEL01-RJ
572056;02/01/2024;terça-feira;06:20:00;MS;163;475;CAMPO GRANDE;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;3;0;0;1;2;0;1;2;-20,51838231;-54,56658567;SPRF-MS;DEL01-MS;UOP01-DEL01-MS
572060;01/01/2024;segunda-feira;17:30:00;BA;242;366;PALMEIRAS;Velocidade Incompatível;Colisão com objeto;Sem Vítimas;Anoitecer;Decrescente;Chuva;Simples;"Reta;Ponte";Não;1;0;0;0;1;0;0;1;-12,46767097;-41,43877801;SPRF-BA;DEL08-BA;UOP04-DEL08-BA
572061;02/01/2024;terça-feira;07:50:00;PB;101;117;CAAPORA;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Aclive;Não;3;0;1;0;2;0;1;2;-7,41357983;-34,95743528;SPRF-PB;DEL01-PB;UOP02-DEL01-PB
572062;02/01/2024;terça-feira;07:55:00;MA;135;66;SANTA RITA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Sim;2;0;0;1;1;0;1;2;-3,10577998;-44,32276839;SPRF-MA;DEL01-MA;UOP02-DEL01-MA
