id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
586202;09/03/2024;sábado;22:40:00;GO;153;501;GOIANIA;Velocidade Incompatível;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-16,7189;-49,2382;SPRF-GO;DEL01-GO;UOP01-DEL01-GO
586204;09/03/2024;sábado;22:30:00;RN;304;250;SAO PAULO DO POTENGI;Transitar na contramão;Colisão lateral sentido oposto;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;4;1;2;0;0;1;2;2;-5,83046826;-35,75370504;SPRF-RN;DEL01-RN;UOP02-DEL01-RN
586205;09/03/2024;sábado;22:20:00;BA;101;248,5;CONCEICAO DO ALMEIDA;Ausência de reação do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;1;0;1;0;0;0;1;1;-12,867406;-39,216782;SPRF-BA;DEL01-BA;UOP02-DEL01-BA
586206;09/03/2024;sábado;21:30:00;MG;365;830;SANTA VITORIA;Acumulo de água sobre o pavimento;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;"Declive;Reta";Não;2;0;1;1;0;0;2;1;-18,89876227;-50,18583791;SPRF-MG;DEL15-MG;UOP03-DEL15-MG
586207;09/03/2024;sábado;22:30:00;SC;101;290;IMBITUBA;Reação tardia ou ineficiente do condutor;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Múltipla;"Aclive;Reta";Não;1;0;1;0;0;0;1;1;-28,2801336;-48,70137334;SPRF-SC;DEL02-SC;UOP03-DEL02-SC
586208;09/03/2024;sábado;23:10:00;RS;116;502,9;PELOTAS;Demais falhas na via;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;1;0;1;0;0;0;1;1;-31,56791105;-52,25884295;SPRF-RS;DEL07-RS;UOP01-DEL07-RS
586209;09/03/2024;sábado;23:40:00;RS;448;2;ESTEIO;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Curva;Sim;2;0;2;0;0;0;2;1;-29,84187233;-51,18628979;SPRF-RS;DEL01-RS;UOP02-DEL01-RS
586210;09/03/2024;sábado;23:20:00;SP;116;145,7;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Dupla;"Aclive;Reta";Sim;3;0;1;1;1;0;2;2;-23,1869844;-45,8548078;SPRF-SP;DEL02-SP;UOP01-DEL02-SP
586211;09/03/2024;sábado;09:20:00;RJ;465;13;SEROPEDICA;Reação tardia ou ineficiente do condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Interseção de Vias;Sim;2;0;1;0;1;0;1;2;-22,798468;-43,645508;SPRF-RJ;DEL06-RJ;UOP02-DEL06-RJ
586213;09/03/2024;sábado;22:40:00;PR;116;9;CAMPINA GRANDE DO SUL;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Sem Vítimas;Plena Noite;Crescente;Garoa/Chuvisco;Dupla;Curva;Não;1;0;0;0;0;1;0;1;-25,08319454;-48,63391824;SPRF-PR;DEL01-PR;UOP02-DEL01-PR
586214;10/03/2024;domingo;00:00:00;SP;116;113;TAUBATE;Entrada inopinada do pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Não;2;0;0;2;0;0;2;2;-23,0440828;-45,58041405;SPRF-SP;DEL02-SP;UOP02-DEL02-SP
