id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
552189;01/10/2023;domingo;17:00:00;CE;116;508,8;BREJO SANTO;Ingestão de álcool pelo condutor;Saída de leito carroçável;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Simples;Reta;Sim;1;1;0;0;0;0;0;1;-7,54032;-39,01173;SPRF-CE;DEL05-CE;UOP03-DEL05-CE
552191;01/10/2023;domingo;15:10:00;MG;116;780,3;LEOPOLDINA;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Curva;Não;3;0;3;0;0;0;3;1;-21,61482397;-42,69263203;SPRF-MG;DEL07-MG;UOP01-DEL07-MG
552194;01/10/2023;domingo;13:45:00;RO;364;354,6;JI-PARANA;Manobra de mudança de faixa;Colisão frontal;Com Vítimas Fatais;Pleno dia;Decrescente;Chuva;Simples;Reta;Não;7;1;4;2;0;0;6;2;-10,81618198;-62,01768595;SPRF-RO;DEL02-RO;UOP01-DEL02-RO
552195;01/10/2023;domingo;17:10:00;MG;381;903,6;CAMBUI;Velocidade Incompatível;Capotamento;Com Vítimas Feridas;Anoitecer;Decrescente;Chuva;Dupla;Curva;Não;1;0;1;0;0;0;1;1;-22,68185904;-46,10140424;SPRF-MG;DEL16-MG;UOP03-DEL16-MG
552198;01/10/2023;domingo;17:00:00;MG;40;732,6;SANTOS DUMONT;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;"Declive;Curva                 ";Não;1;0;1;0;0;0;1;1;-21,34762119;-43,58122534;SPRF-MG;DEL05-MG;UOP01-DEL05-MG
552200;01/10/2023;domingo;10:50:00;MG;262;593;CAMPOS ALTOS;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;"Aclive;Curva                  ";Não;1;0;1;0;0;0;1;1;-19,65681404;-46,17794037;SPRF-MG;DEL08-MG;UOP02-DEL08-MG
552201;01/10/2023;domingo;17:26:00;PR;376;109;CURITIBA;Carga excessiva e/ou mal acondicionada;Tombamento;Com Vítimas Feridas;Anoitecer;Decrescente;Sol;Dupla;Reta;Não;1;0;1;0;0;0;1;1;-25,56588478;-49,24445629;SPRF-PR;DEL09-PR;UOP02-DEL09-PR
552202;01/10/2023;domingo;18:05:00;SE;101;156;ESTANCIA;Afundamento ou ondulação no pavimento;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;"Reta;Aclive                   ";Não;2;0;0;1;0;1;1;2;-11,2859163;-37,45833996;SPRF-SE;DEL02-SE;UOP01-DEL02-SE
552204;01/10/2023;domingo;14:20:00;SC;282;535,2;CHAPECO;Acumulo de óleo sobre o pavimento;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Interseção de Vias;Rotatória  ";Não;1;0;1;0;0;0;1;1;-26,99944837;-52,64613748;SPRF-SC;DEL07-SC;UOP01-DEL07-SC
552205;01/10/2023;domingo;18:00:00;PB;101;81;BAYEUX;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;0;1;1;2;-7,12508575;-34,94513217;SPRF-PB;DEL01-PB;UOP01-DEL01-PB
